id,nome científico,family,fbLink,category,criteria,assessmentYear,reassessment
138081,Goeppertia dorothyae (J.M.A. Braga & H. Kenn.) J.M.A. Braga,Marantaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB138081,CR,"B2ab(ii,iii)",2017,false
138105,Cordia blanchetii A.DC.,Cordiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB138105,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2020,false
138124,Erythroxylum substriatum O.E.Schulz,Erythroxylaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB138124,VU,"B2ab(i,ii,iii)",2023,false
138135,Vochysia rufescens W.A. Rodrigues,Vochysiaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB138135,VU,D2,2018,false
138820,Goeppertia fatimae (H.Kenn. & J.M.A.Braga) Borchs. & S.Suárez,Marantaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB138820,VU,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",2017,false
138882,"Bellucia nigricans (Hooker f.) Penneys, Michelangeli, Judd & Almeda",Melastomataceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB138882,VU,D2,2018,false
139014,Philcoxia minensis V.C.Souza & Giul.,Plantaginaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139014,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2014,false
139117,Ocotea estrellensis (Meisn.) P.L.R.Moraes,Lauraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139117,EN,"B2ab(ii,iii)",2018,false
139135,Goeppertia tuberosa (Vell.) Borchs. & S.Suárez,Marantaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139135,EN,B1ab(iii),2011,false
139168,Goeppertia reginae (J.M.A.Braga) Borchs. & S.Suárez,Marantaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139168,CR,"B2ab(ii,iii,v)",2017,false
139179,Goeppertia sphaerocephala (K.Schum.) Borchs. & S.Suárez,Marantaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139179,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",2017,false
139198,Goeppertia widgrenii (Körn.) Borchs. & S.Suárez,Marantaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139198,EN,B1ab(iii)+2ab(iii),2011,false
139235,"Neea alumnorum M. Pignal, Soares Filho & Romaniuc",Nyctaginaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139235,VU,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2020,false
139430,Pombalia strigoides (Taub.) Paula-Souza,Violaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139430,EN,"B1ab(i,iii,iv)+2ab(ii,iii,iv)",2012,false
139733,Ophryosporus organensis Cabrera,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139733,CR,"B2ab(ii,iii,v)",2017,false
139791,Dichorisandra odorata Aona & M.C.E.Amaral,Commelinaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139791,VU,D2,2017,false
139792,Dichorisandra nana Aona & M.C.E.Amaral,Commelinaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139792,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2017,false
139910,Rhipsalis flagelliformis N.P.Taylor & Zappi,Cactaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB139910,EN,"B2ab(i,ii,iii,v);D",2017,false
